filename,description_en,description_zh,source_file,width,height,note
photo-pa-bracket-fungus-polyporales-sp-2024.svg,Bracket fungus on deadwood (Polyporales sp.) · Pennsylvania forest · 2024,朽木上的多孔菌类真菌（Polyporales sp.）· 宾夕法尼亚森林 · 2024,Picture1.jpg,246,327,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-pa-eastern-box-turtle-terrapene-carolina-carolina-2024.svg,Eastern box turtle (Terrapene carolina carolina) · Pennsylvania forest · 2024,东部箱龟（Terrapene carolina carolina）· 宾夕法尼亚森林 · 2024,Picture2.jpg,273,365,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-pa-red-eft-eastern-newt-notophthalmus-viridescens-2024.svg,Red eft / Eastern newt (Notophthalmus viridescens) · Pennsylvania forest · 2024,红螈 / 东方蝾螈陆生幼体（Notophthalmus viridescens）· 宾夕法尼亚森林 · 2024,Picture3.jpg,317,423,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-pa-blue-jay-feather-cyanocitta-cristata-2024.svg,Blue jay feather (Cyanocitta cristata) · Pennsylvania forest · 2024,蓝松鸦羽毛（Cyanocitta cristata）· 宾夕法尼亚森林 · 2024,Picture4.jpg,257,456,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-pa-red-eft-eastern-newt-closeup-notophthalmus-viridescens-2024.svg,Red eft / Eastern newt (Notophthalmus viridescens) · Pennsylvania forest · 2024,红螈 / 东方蝾螈陆生幼体（Notophthalmus viridescens）· 宾夕法尼亚森林 · 2024,Picture5.jpg,210,179,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-pa-white-tailed-deer-skull-odocoileus-virginianus-2024.svg,White-tailed deer remains (Odocoileus virginianus) · Pennsylvania forest · 2024,白尾鹿遗骸（Odocoileus virginianus）· 宾夕法尼亚森林 · 2024,Picture6.jpg,318,424,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-pa-pleasing-fungus-beetles-megalodacne-sp-2024.svg,"Pleasing fungus beetles (Megalodacne sp., probable) · Pennsylvania forest · 2024",拟彩菌甲 / 赏心菌甲属昆虫（Megalodacne sp.，推测）· 宾夕法尼亚森林 · 2024,Weixin Image_20260613005838_431_160.jpg,2048,1537,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-australia-maple-canopy-acer-sp-2018.svg,"Maple canopy (Acer sp.) · Australia, likely Sydney or Melbourne · 2018",槭树冠层（Acer sp.）· 澳大利亚，可能为悉尼或墨尔本 · 2018,Weixin Image_20260613005904_435_160.jpg,2048,1151,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-sydney-sumatran-tiger-panthera-tigris-sondaica-2018.svg,"Sumatran tiger (Panthera tigris sondaica, probable) · Sydney, likely Taronga Zoo · 2018",苏门答腊虎（Panthera tigris sondaica，推测）· 悉尼，可能为塔龙加动物园 · 2018,Weixin Image_20260613010258_73_272.jpg,1702,1276,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-australia-indian-peafowl-pavo-cristatus-2018.svg,"Indian peafowl (Pavo cristatus) · Australia, likely Sydney or Melbourne · 2018",蓝孔雀 / 印度孔雀（Pavo cristatus）· 澳大利亚，可能为悉尼或墨尔本 · 2018,Weixin Image_20260613010304_74_272.jpg,1702,1276,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-australia-lantana-camara-2018.svg,"Lantana (Lantana camara) · Australia, likely Sydney or Melbourne · 2018",马缨丹 / 五色梅（Lantana camara）· 澳大利亚，可能为悉尼或墨尔本 · 2018,Weixin Image_20260613011218_79_272.jpg,1536,2048,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-sydney-silver-gull-chroicocephalus-novaehollandiae-2018.svg,Silver gull (Chroicocephalus novaehollandiae) · Sydney Harbour · 2018,银鸥（Chroicocephalus novaehollandiae）· 悉尼港 · 2018,Weixin Image_20260613011245_80_272.jpg,2048,1536,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-sydney-humpback-whale-breach-megaptera-novaeangliae-2018.svg,Humpback whale (Megaptera novaeangliae) · Sydney whale-watching waters · 2018,座头鲸（Megaptera novaeangliae）· 悉尼近海观鲸海域 · 2018,Weixin Image_20260613011310_82_272.jpg,964,656,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-sydney-humpback-whale-back-megaptera-novaeangliae-2018.svg,Humpback whale (Megaptera novaeangliae) · Sydney whale-watching waters · 2018,座头鲸（Megaptera novaeangliae）· 悉尼近海观鲸海域 · 2018,Weixin Image_20260613011313_83_272.jpg,1640,1080,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-sydney-humpback-whale-fluke-megaptera-novaeangliae-2018.svg,Humpback whale fluke (Megaptera novaeangliae) · Sydney whale-watching waters · 2018,座头鲸尾鳍（Megaptera novaeangliae）· 悉尼近海观鲸海域 · 2018,Weixin Image_20260613011315_84_272.jpg,1512,1080,Best-effort species/location/year estimate from image context; verify if exact records matter.
photo-sydney-humpback-whale-head-megaptera-novaeangliae-2018.svg,Humpback whale (Megaptera novaeangliae) · Sydney whale-watching waters · 2018,座头鲸（Megaptera novaeangliae）· 悉尼近海观鲸海域 · 2018,Weixin Image_20260613011316_85_272.jpg,1080,1080,Best-effort species/location/year estimate from image context; verify if exact records matter.
